participantId,group,lecture_type,practice_type,responseId,concept,responsePrompt,answer,score,coder_notes
5e0b388b15ef4037cebdecc9,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",How much the cause and effect of two sequences relate and influence one another.,0.5,Mentions relation/influence but frames as cause-effect and does not capture direction/strength.
5e0b388b15ef4037cebdecc9,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",The direction of momentum.,0,Incorrect/vague; 'direction of momentum' does not define slope.
64012ee6e3f2e59aaa36f718,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation to me means something directly related to something else.,0.5,Mentions relatedness but vague; no direction/strength.
64012ee6e3f2e59aaa36f718,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope is a downward trend of a statistic.,0.5,Mentions downward trend only; partial intuition but incomplete.
6448503fab8d495eb76b51b0,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","when one thing changes, the other changes as well",0.5,Mentions co-change but not strength/direction explicitly.
6448503fab8d495eb76b51b0,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",when numbers keep going in the same direction?,0.5,Mentions same direction/trend but vague for slope.
65ccca52871269168cc029b5,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",Two variables have a relationship (like x goes up y goes up) but aren't necessarily causing each other to change.,1,"Mentions two variables, relationship, co-change, and no causation."
65ccca52871269168cc029b5,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",The incline/decline of a line on a graph,0.5,Mentions incline/decline of a line; partial but no rate/rise-run.
663eb286696a0a72e8f06e0f,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",it means that two variables move together (like a relationship),0.5,Mentions variables moving together/relationship but no strength/direction.
663eb286696a0a72e8f06e0f,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",it's the rate of change,1,Defines slope as rate of change.
6985cae61f4f48abdf956530,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","How strong the direction of a linear relationship is between two independent variables,",1,Mentions strength and direction of linear relationship between variables.
6985cae61f4f48abdf956530,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",The ratio of the vertical and horizontal change between two data points on a graph.,1,Mentions ratio of vertical to horizontal change.
698b661701f0981576ed9dec,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",something that is similar or could be matched to.,0.5,Very vague similarity/matching idea; partial relatedness only.
698b661701f0981576ed9dec,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",something downhill could be referenced to a landscape or in an analysis chart of some sort.,0,Terrain/downhill description; not a meaningful statistical slope definition.
69991d70dd2583a349d03468,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",the relationship between 2 or more variables,0.5,Mentions relationship between variables but no strength/direction.
69991d70dd2583a349d03468,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:","slant, diagonal line",0.5,Mentions slant/diagonal line; partial but no rate/change.
699a436ee9032e2b2333d3c1,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is a measure of how close together two variables are.,0.5,Mentions closeness of variables; vague and no direction/strength.
699a436ee9032e2b2333d3c1,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope  is rise/run or how a change in one variable affect the change in another variable or vice versa.,1,Mentions rise/run and change in one variable affecting another.
69b5d74131631c0333607bec,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","A correlation is a relationship or association between two or more variables. Examples of correlations are positive (when one variable increases, so does the other), negative (when on variable increases, the other decreases), and none (when one variable increases/decreases, the other remains unchanged).",1,Mentions association and positive/negative/no correlation patterns.
