participantId,group,lecture_type,practice_type,responseId,concept,responsePrompt,answer,score,coder_notes
5e0b388b15ef4037cebdecc9,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",How much the cause and effect of two sequences relate and influence one another.,NA,NA
5e0b388b15ef4037cebdecc9,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",The direction of momentum.,NA,NA
64012ee6e3f2e59aaa36f718,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",Correlation to me means something directly related to something else.,NA,NA
64012ee6e3f2e59aaa36f718,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",A slope is a downward trend of a statistic.,NA,NA
6448503fab8d495eb76b51b0,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","when one thing changes, the other changes as well",NA,NA
6448503fab8d495eb76b51b0,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",when numbers keep going in the same direction?,NA,NA
65ccca52871269168cc029b5,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",Two variables have a relationship (like x goes up y goes up) but aren't necessarily causing each other to change.,NA,NA
65ccca52871269168cc029b5,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",The incline/decline of a line on a graph,NA,NA
663eb286696a0a72e8f06e0f,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",it means that two variables move together (like a relationship),NA,NA
663eb286696a0a72e8f06e0f,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",it's the rate of change,NA,NA
6985cae61f4f48abdf956530,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:","How strong the direction of a linear relationship is between two independent variables,",NA,NA
6985cae61f4f48abdf956530,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",The ratio of the vertical and horizontal change between two data points on a graph.,NA,NA
698b661701f0981576ed9dec,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",something that is similar or could be matched to.,NA,NA
698b661701f0981576ed9dec,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:",something downhill could be referenced to a landscape or in an analysis chart of some sort.,NA,NA
69991d70dd2583a349d03468,CC,Control,Control,q-correlation,correlation,"In your own words, please describe what a correlation is:",the relationship between 2 or more variables,NA,NA
69991d70dd2583a349d03468,CC,Control,Control,q-slope,slope,"In your own words, please describe what a slope is:","slant, diagonal line",NA,NA
