participantId,trialId,trialOrder,responseId,stage,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,parameters_src,parameters_taskid,parameters_nextButtonText,parameters_maxWidth,parameters_margin,parameters_aspectRatio,parameters_hideNextUntilComplete,parameters_preventSeek,parameters_question,parameters_imgSrc,parameters_imgLabel,parameters_statType,parameters_responseId,parameters_instruction,parameters_imgSrcs,parameters_imgLabels,parameters_options,parameters_questionType,parameters_rankPrompts,parameters_pickQuestion,parameters_pickOptions,parameters_title,parameters_intro,parameters_sections,parameters_leftImgSrc,parameters_rightImgSrc,parameters_leftLabel,parameters_rightLabel,parameters_requiredPoints,parameters_seedPoints,parameters_gifSrc
"5e0b388b15ef4037cebdecc9","participantTags","","participantTags","DEFAULT","","","","","","","","[""pilot-sequence"",""guess-slope-sequence"",""guess-correlation-sequence""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","consent","0","prolificId","DEFAULT","completed","","","","100.00","","Please enter your Prolific ID","5e0b388b15ef4037cebdecc9","","18005","18005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","consent","0","accept","DEFAULT","completed","","","","100.00","","Are you ready to continue?","Accept","","18005","18005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","consent","0","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":1,""keydown"":0,""keyup"":0,""mousemove"":22,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":3,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","$screen-recording.components.screenRecordingPermission","1","screenRecordingPermission","DEFAULT","completed","","Get permission to start Screen recording","","100.00","","Screen recording enabled","true","","26784","26784","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","$screen-recording.components.screenRecordingPermission","1","windowEvents","DEFAULT","","","","","","","","{""focus"":5,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":71,""mousedown"":2,""mouseup"":2,""resize"":4,""scroll"":3,""visibility"":1}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","intro","2","","DEFAULT","completed","","","","100.00","","","","","4803","4803","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","intro","2","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":23,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":1,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","pre questions","3","q-correlation","DEFAULT","completed","","","","100.00","","In your own words, please describe what a correlation is:","How much the cause and effect of two sequences relate and influence one another.  ","","141977","141977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e0b388b15ef4037cebdecc9","pre questions","3","q-slope","DEFAULT","completed","","","","100.00","","In your own words, please describe what a slope is:","The direction of momentum.  ","","141977","141977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
