participantId,trialId,trialOrder,responseId,stage,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,parameters_src,parameters_taskid,parameters_nextButtonText,parameters_maxWidth,parameters_margin,parameters_aspectRatio,parameters_hideNextUntilComplete,parameters_preventSeek,parameters_question,parameters_imgSrc,parameters_imgLabel,parameters_statType,parameters_responseId,parameters_instruction,parameters_imgSrcs,parameters_imgLabels,parameters_options,parameters_questionType,parameters_rankPrompts,parameters_pickQuestion,parameters_pickOptions,parameters_title,parameters_intro,parameters_sections,parameters_leftImgSrc,parameters_rightImgSrc,parameters_leftLabel,parameters_rightLabel,parameters_requiredPoints,parameters_seedPoints,parameters_gifSrc,lecture_type,practice_type,group,source_file,parameters_minTasks,parameters_height,parameters_expectedSource
5e0b388b15ef4037cebdecc9,guess-correlation-1,44,stat_guess,DEFAULT,completed,NA,NA,NA,100,NA,NA,.7,NA,33505,33505,NA,NA,NA,NA,NA,NA,NA,NA,What do you think the correlation is for this graph?,assets/imgs/guess-correlation-1.png,"slope = 0.35, correlation = 0.71",correlation,stat_guess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,guess-correlation-1,44,stat_guess_initial,DEFAULT,completed,NA,NA,NA,100,NA,NA,7,NA,33505,33505,NA,NA,NA,NA,NA,NA,NA,NA,What do you think the correlation is for this graph?,assets/imgs/guess-correlation-1.png,"slope = 0.35, correlation = 0.71",correlation,stat_guess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,guess-correlation-1,44,stat_guess_sign,DEFAULT,completed,NA,NA,NA,100,NA,NA,positive,NA,33505,33505,NA,NA,NA,NA,NA,NA,NA,NA,What do you think the correlation is for this graph?,assets/imgs/guess-correlation-1.png,"slope = 0.35, correlation = 0.71",correlation,stat_guess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,guess-correlation-1,44,windowEvents,DEFAULT,NA,NA,NA,NA,NA,NA,NA,"{""focus"":3,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":51,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":0,""visibility"":0}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,guess-correlation-2,49,stat_guess,DEFAULT,completed,NA,NA,NA,100,NA,NA,.2,NA,7823,7823,NA,NA,NA,NA,NA,NA,NA,NA,What do you think the correlation is for this graph?,assets/imgs/guess-correlation-2.png,"slope = 0.35, correlation = 0.57",correlation,stat_guess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,guess-correlation-2,49,stat_guess_initial,DEFAULT,completed,NA,NA,NA,100,NA,NA,.2,NA,7823,7823,NA,NA,NA,NA,NA,NA,NA,NA,What do you think the correlation is for this graph?,assets/imgs/guess-correlation-2.png,"slope = 0.35, correlation = 0.57",correlation,stat_guess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,guess-correlation-2,49,stat_guess_sign,DEFAULT,completed,NA,NA,NA,100,NA,NA,positive,NA,7823,7823,NA,NA,NA,NA,NA,NA,NA,NA,What do you think the correlation is for this graph?,assets/imgs/guess-correlation-2.png,"slope = 0.35, correlation = 0.57",correlation,stat_guess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,guess-correlation-2,49,windowEvents,DEFAULT,NA,NA,NA,NA,NA,NA,NA,"{""focus"":3,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":23,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":2,""visibility"":0}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,guess-correlation-3,46,stat_guess,DEFAULT,completed,NA,NA,NA,100,NA,NA,-0.7,NA,6558,6558,NA,NA,NA,NA,NA,NA,NA,NA,What do you think the correlation is for this graph?,assets/imgs/guess-correlation-3.png,"slope = 0.35, correlation = 0.30",correlation,stat_guess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,guess-correlation-3,46,stat_guess_initial,DEFAULT,completed,NA,NA,NA,100,NA,NA,.7,NA,6558,6558,NA,NA,NA,NA,NA,NA,NA,NA,What do you think the correlation is for this graph?,assets/imgs/guess-correlation-3.png,"slope = 0.35, correlation = 0.30",correlation,stat_guess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
