participantId,group,lecture_type,practice_type,source_file,trialId,responseId,responsePrompt,answer,duration,cleanedDuration,status,percentComplete
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,pre questions,q-correlation,"In your own words, please describe what a correlation is:",How much the cause and effect of two sequences relate and influence one another.,141977,141977,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,pre questions,q-slope,"In your own words, please describe what a slope is:",The direction of momentum.,141977,141977,completed,100
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,pre questions,q-correlation,"In your own words, please describe what a correlation is:",Correlation to me means something directly related to something else.,65568,65568,completed,100
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,pre questions,q-slope,"In your own words, please describe what a slope is:",A slope is a downward trend of a statistic.,65568,65568,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,pre questions,q-correlation,"In your own words, please describe what a correlation is:","when one thing changes, the other changes as well",62485,62485,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,pre questions,q-slope,"In your own words, please describe what a slope is:",when numbers keep going in the same direction?,62485,62485,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,pre questions,q-correlation,"In your own words, please describe what a correlation is:",Two variables have a relationship (like x goes up y goes up) but aren't necessarily causing each other to change.,141163,141163,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,pre questions,q-slope,"In your own words, please describe what a slope is:",The incline/decline of a line on a graph,141163,141163,completed,100
663eb286696a0a72e8f06e0f,CC,Control,Control,main-control-control.csv,pre questions,q-correlation,"In your own words, please describe what a correlation is:",it means that two variables move together (like a relationship),104082,104082,completed,100
663eb286696a0a72e8f06e0f,CC,Control,Control,main-control-control.csv,pre questions,q-slope,"In your own words, please describe what a slope is:",it's the rate of change,104082,104082,completed,100
6985cae61f4f48abdf956530,CC,Control,Control,main-control-control.csv,pre questions,q-correlation,"In your own words, please describe what a correlation is:","How strong the direction of a linear relationship is between two independent variables,",287702,287702,completed,100
6985cae61f4f48abdf956530,CC,Control,Control,main-control-control.csv,pre questions,q-slope,"In your own words, please describe what a slope is:",The ratio of the vertical and horizontal change between two data points on a graph.,287702,287702,completed,100
698b661701f0981576ed9dec,CC,Control,Control,main-control-control.csv,pre questions,q-correlation,"In your own words, please describe what a correlation is:",something that is similar or could be matched to.,96106,96106,completed,100
698b661701f0981576ed9dec,CC,Control,Control,main-control-control.csv,pre questions,q-slope,"In your own words, please describe what a slope is:",something downhill could be referenced to a landscape or in an analysis chart of some sort.,96106,96106,completed,100
69991d70dd2583a349d03468,CC,Control,Control,main-control-control.csv,pre questions,q-correlation,"In your own words, please describe what a correlation is:",the relationship between 2 or more variables,104280,104280,completed,100
69991d70dd2583a349d03468,CC,Control,Control,main-control-control.csv,pre questions,q-slope,"In your own words, please describe what a slope is:","slant, diagonal line",104280,104280,completed,100
699a436ee9032e2b2333d3c1,CC,Control,Control,main-control-control.csv,pre questions,q-correlation,"In your own words, please describe what a correlation is:",A correlation is a measure of how close together two variables are.,136030,136030,completed,100
699a436ee9032e2b2333d3c1,CC,Control,Control,main-control-control.csv,pre questions,q-slope,"In your own words, please describe what a slope is:",A slope  is rise/run or how a change in one variable affect the change in another variable or vice versa.,136030,136030,completed,100
69b5d74131631c0333607bec,CC,Control,Control,main-control-control.csv,pre questions,q-correlation,"In your own words, please describe what a correlation is:","A correlation is a relationship or association between two or more variables. Examples of correlations are positive (when one variable increases, so does the other), negative (when on variable increases, the other decreases), and none (when one variable increases/decreases, the other remains unchanged).",120041,120041,completed,100
69b5d74131631c0333607bec,CC,Control,Control,main-control-control.csv,pre questions,q-slope,"In your own words, please describe what a slope is:","A slope is a measurement of steepness of a line, calculated as ""rise over run"", or ratio of vertical change to horizontal change.",120041,120041,completed,100
