participantId,group,lecture_type,practice_type,definition_q-correlation,definition_q-slope
5e0b388b15ef4037cebdecc9,CC,Control,Control,How much the cause and effect of two sequences relate and influence one another.,The direction of momentum.
64012ee6e3f2e59aaa36f718,CC,Control,Control,Correlation to me means something directly related to something else.,A slope is a downward trend of a statistic.
6448503fab8d495eb76b51b0,CC,Control,Control,"when one thing changes, the other changes as well",when numbers keep going in the same direction?
65ccca52871269168cc029b5,CC,Control,Control,Two variables have a relationship (like x goes up y goes up) but aren't necessarily causing each other to change.,The incline/decline of a line on a graph
663eb286696a0a72e8f06e0f,CC,Control,Control,it means that two variables move together (like a relationship),it's the rate of change
6985cae61f4f48abdf956530,CC,Control,Control,"How strong the direction of a linear relationship is between two independent variables,",The ratio of the vertical and horizontal change between two data points on a graph.
698b661701f0981576ed9dec,CC,Control,Control,something that is similar or could be matched to.,something downhill could be referenced to a landscape or in an analysis chart of some sort.
69991d70dd2583a349d03468,CC,Control,Control,the relationship between 2 or more variables,"slant, diagonal line"
699a436ee9032e2b2333d3c1,CC,Control,Control,A correlation is a measure of how close together two variables are.,A slope  is rise/run or how a change in one variable affect the change in another variable or vice versa.
69b5d74131631c0333607bec,CC,Control,Control,"A correlation is a relationship or association between two or more variables. Examples of correlations are positive (when one variable increases, so does the other), negative (when on variable increases, the other decreases), and none (when one variable increases/decreases, the other remains unchanged).","A slope is a measurement of steepness of a line, calculated as ""rise over run"", or ratio of vertical change to horizontal change."
69bad0d8d699e854ef8e8184,CC,Control,Control,Correlation is a relation between two or more individual things.,A slope is the value of the change of a line on a graph.
69c440c36f9c43fe1266a56b,CC,Control,Control,Correalation to me is when two things are similar and find a mutual ground,slope to me is the slope of a line
69c59eeb6b373bc928a1aba9,CC,Control,Control,When there is a connection between different things that can be proved,data that goes up..? slowly (not sure sorry :( )
69d5bc72bf90388665397b6e,CC,Control,Control,"correlation is like, how connected two variables are. like how much changes in variable x cause changes in variable y",its a line.. it shows relationship between x axis and y axis. or something
69e293f57120947b9a8408de,CC,Control,Control,It measures how two variables move together,It tells you how steep a line is
